date,institution_id,institution,previous_report_status,new_report_status,evidence_level,sources_added,fields_updated,main_sources,gaps,next_follow_up,notes
2026-06-23,university-of-zurich,University of Zurich,Partial seed,Partial seed,Moderate,3,"profileStatus; institutionalRoute; committeeOrOffice; procedureSummary; publicOutputSummary; transparencySummary; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.research.uzh.ch/en/procedures/integrity.html | https://www.uzh.ch/en/researchinnovation/ethics/integrity.html | https://www.research.uzh.ch/en/procedures/integrity/persons.html | https://www.uzh.ch/en/explore/portrait/annualreport.html","No UZH public misconduct case-output channel, anonymized decision archive or annual integrity-statistics page located; do not generalize ETH Zurich output.","Retest UZH annual reports and research-integrity pages for aggregate statistics or anonymized summaries.","Official-source batch extraction; personal contact details omitted and ETH Zurich kept separate."
2026-06-23,trinity-college-dublin,Trinity College Dublin,Partial seed,Partial seed,Moderate,3,"profileStatus; transparencyCategory; institutionalRoute; committeeOrOffice; procedureSummary; publicOutputSummary; transparencySummary; sourceCoverage; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.tcd.ie/seniordean/research-integrity/ | https://www.tcd.ie/media/tcd/about/policies/pdfs/Policy-on-Good-Research-Practice_1.1.pdf | https://www.tcd.ie/research/support/integrity.php | https://www.iua.ie/for-researchers/research-integrity/ | https://www.iua.ie/wp-content/uploads/2025/07/National-Stats-on-Formal-Investigations-of-Research-Misconduct-2023.pdf","No Trinity-specific public case archive, annual integrity statement or anonymized institutional output located; NRIF statistics are national aggregate context only.","Search Trinity annual reports, governance minutes and Senior Dean/Research pages for non-personal aggregate RI statistics or case-learning material.","Batch 2 official-source partial seed; Trinity kept separate from NRIF national aggregate publication."
2026-06-23,university-of-edinburgh,University of Edinburgh,Partial seed,Detailed seed,Strong,3,"reportStatus; profileStatus; evidenceLevel; transparencyCategory; institutionalRoute; committeeOrOffice; procedureSummary; publicOutputSummary; transparencySummary; sourceCoverage; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://research-office.ed.ac.uk/research-integrity/annual-research-ethics-and-integrity-reports | https://research-office.ed.ac.uk/research-ethics-integrity/annual-research-integrity-statements | https://research-office.ed.ac.uk/research-integrity/research-misconduct | https://research-office.ed.ac.uk/sites/default/files/2026-05/2025%20-%202026%20University%20of%20Edinburgh%20Annual%20Research%20Integrity%20Statement.pdf","Annual statements are a public annual-report corridor rather than a complete case-file archive; field-level extraction remains pending.","Index annual statements by year, allegation count, formal investigation count, outcome and lessons-learned depth.","Moved to Detailed seed because official statement hub and current misconduct route are verified."
2026-06-23,imperial-college-london,Imperial College London,Detailed seed,Detailed seed,Strong,3,"profileStatus; transparencyCategory; institutionalRoute; committeeOrOffice; procedureSummary; publicOutputSummary; transparencySummary; sourceCoverage; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.imperial.ac.uk/research-and-innovation/about-imperial-research/research-integrity-investigations/misconduct/ | https://www.imperial.ac.uk/research-and-innovation/about-imperial-research/research-integrity-investigations/misconduct/annual-statement-on-research-integrity-2025/ | https://www.imperial.ac.uk/research-and-innovation/about-imperial-research/research-integrity-investigations/misconduct/annual-statement-on-research-integrity-2024/ | https://www.imperial.ac.uk/research-and-innovation/about-imperial-research/research-integrity-investigations/misconduct/research-integrity-framework/","Annual statements and narrative learning are public output but not a searchable complete case archive.","Index 2021-2025 statements by allegation count, screening/full-investigation route, outcome, narrative learning and procedure-version changes.","Retained as Detailed seed; 2025 statement and RMRG route replace thin single-source coverage."
2026-06-23,university-college-london,University College London (UCL),Detailed seed,Detailed seed,Strong,4,"profileStatus; transparencyCategory; institutionalRoute; committeeOrOffice; procedureSummary; publicOutputSummary; transparencySummary; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.ucl.ac.uk/research-innovation-services/compliance-and-assurance/research-integrity | https://www.ucl.ac.uk/research-innovation-services/sites/research_innovation_services/files/ucl_annual_statement_on_research_integrity_2024-25.docx | https://www.ucl.ac.uk/research-innovation-services/sites/research_innovation_services/files/ucl_research_integrity_annual_statement_2023-2024.pdf | https://www.ucl.ac.uk/research-innovation-services/training-and-resources/policies-and-guidance/ucl-research-ethics-policy | https://www.ucl.ac.uk/about/leadership/governance/committees/umc-and-committees/research-innovation-and-global-engagement-committee","Annual-statement archive and Research Misconduct Committee analysis route found; full current misconduct procedure source still needs direct-source validation.","Extract 2023-2024 and 2024-2025 statement fields by allegation type, formal-investigation count, outcome, committee analysis and lessons-learned note.","Retained as Detailed seed; current annual-statement archive added and UCLouvain distinction preserved."
2026-06-23,universitat-de-barcelona,Universitat de Barcelona,Partial seed,Detailed seed,Strong,3,"reportStatus; profileStatus; validationStatus; evidenceLevel; transparencyCategory; countrySystemSummary; nationalRoute; institutionalRoute; committeeOrOffice; procedureSummary; publicOutputSummary; transparencySummary; sourceCoverage; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://web.ub.edu/en/ethics-integrity | https://www.ub.edu/comissiobioetica/sites/default/files/documents/normativa/codi_dintegritat_en_la_recerca_de_la_universitat_de_barcelona.pdf | https://recercaiuniversitats.gencat.cat/ca/01_departament_recerca_i_universitats/el_departament/organismes/circat/procediment-solicituds/index.html | https://web.gencat.cat/content/dam/webgencat/documents/la-generalitat/com-ens-organitzem/departaments/recerca-universitats/cir-cat/recomanacio_1_2025.pdf","No UB-owned annual integrity report or general misconduct archive located; CIR-CAT Recommendation 1/2025 is regional institution-linked output, not a UB case archive.","Validate the UB/CIR-CAT separation and index Recommendation 1/2025 by topic, route, recommendation and follow-up status.","Moved to Detailed seed because official regional public output directly concerns UB affiliation guidance; boundary ethics committees kept separate."
2026-06-23,universite-paris-saclay,Universite Paris-Saclay,Partial seed,Partial seed,Moderate,4,"profileStatus; transparencyCategory; countrySystemSummary; nationalRoute; institutionalRoute; committeeOrOffice; procedureSummary; publicOutputSummary; transparencySummary; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.universite-paris-saclay.fr/recherche/polethis-ethique-et-integrite/polethis-axe-du-reseau-integrite-scientifique | https://www.universite-paris-saclay.fr/que-faire-en-cas-de-problemes | https://www.ofis-france.fr/annuaire/ | https://www.universite-paris-saclay.fr/sites/default/files/2020-01/fonctionnement-cer-2018-10-17_0.pdf","No Paris-Saclay public misconduct case-output archive, annual RIS activity report, signalement statistics page or anonymized decision channel located; CER-PS is ethics boundary evidence.","Confirm whether Paris-Saclay publishes annual RIS activity reports, non-personal signalement statistics or public case-learning outputs.","Kept as Partial seed; POLETHIS/RIS route evidence strengthened and personal contact details omitted."
2026-06-23,lmu-munich,Ludwig-Maximilians-Universitat Munchen / LMU Munich,Partial seed,Partial seed,Moderate,1,"countrySystemSummary; nationalRoute; procedureSummary; publicOutputSummary; sourceLinks; tags; caveats; reportNotes; nextFollowUp","https://cms-cdn.lmu.de/media/contenthub/amtliche-veroeffentlichungen/gwp-ordnung.pdf | https://www.med.lmu.de/de/promotion/gwp/ | https://www.graduatecenter.uni-muenchen.de/veranstaltungen/e-learning/index.html","No LMU public misconduct case-output channel, annual ombudsperson statistics page, anonymized decision archive or central non-personal office page located beyond the GWP regulation.","Locate any current non-personal LMU ombudsperson or investigation-committee page and retest annual reports or rectorate summaries for aggregate output.","Kept as Partial seed; 2023 GWP regulation is strong procedure evidence but publication is discretionary rather than a standing output channel."
2026-06-23,heidelberg-university,Heidelberg University,Partial seed,Partial seed,Moderate,1,"countrySystemSummary; nationalRoute; institutionalRoute; committeeOrOffice; procedureSummary; publicOutputSummary; transparencySummary; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.uni-heidelberg.de/en/university/about-the-university/good-academic-practice | https://www.uni-heidelberg.de/en/university/about-the-university/good-academic-practice/ombudsmen | https://backend.uni-heidelberg.de/en/documents/rules-for-safeguarding-good-academic-practice-and-handling-academic-misconduct/download | https://backend.uni-heidelberg.de/en/documents/statute-on-safeguarding-fair-conduct/download","No Heidelberg public misconduct case-output channel, annual ombuds/commission statistics page or anonymized decision archive located; fair-conduct and responsibility-in-science routes are boundaries.","Check whether the Commission for the Safeguarding of Good Academic Practice or Rectorate publishes non-personal annual activity or outcome summaries.","Kept as Partial seed; ombuds-to-commission route strengthened and boundary routes separated."
2026-06-23,university-of-zurich,University of Zurich,Partial seed,Partial seed,Moderate,1,"countrySystemSummary; nationalRoute; publicOutputSummary; sourceLinks; tags; caveats; reportNotes; nextFollowUp","https://www.research.uzh.ch/en/procedures/integrity.html | https://www.uzh.ch/en/researchinnovation/ethics/integrity.html | https://www.research.uzh.ch/en/procedures/integrity/persons.html | https://www.uzh.ch/en/explore/portrait/annualreport.html | https://www.news.uzh.ch/en/articles/news/2023/integrity-scientific.html","No UZH public misconduct case-output channel, anonymized decision archive or annual integrity-statistics page located; official news is contextual only and ETH Zurich output must not be generalized.","Retest UZH annual reports, official news and research-integrity pages for aggregate statistics, anonymized summaries or policy updates.","Kept as Partial seed; three-instance route remains clear but no standing public-output corridor was found."
2026-06-23,university-of-geneva,University of Geneva,Partial seed,Detailed seed,Moderate,0,"reportStatus; profileStatus; validationStatus; countrySystemSummary; nationalRoute; institutionalRoute; committeeOrOffice; procedureSummary; publicOutputSummary; transparencySummary; sourceCoverage; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.unige.ch/recherche/en/resources/research-ethics | https://memento.unige.ch/doc/0003 | https://www.unige.ch/ethique/charter | https://cureg.unige.ch/en/how-we-work/","No UNIGE-owned public case-output channel, annual integrity-statistics page, ombudsperson report or anonymized decision archive located; directive shows discretionary publication authority only.","Validate whether UNIGE publishes non-personal Rectorate summaries, aggregate statistics or annual research-integrity reporting outside the public Memento/RGO/CUREG pages.","Batch 4 no-output audit; upgraded to Detailed seed because route and careful output-negative wording are complete."
2026-06-23,university-of-milan,University of Milan,Partial seed,Detailed seed,Moderate,1,"reportStatus; profileStatus; validationStatus; countrySystemSummary; nationalRoute; procedureSummary; publicOutputSummary; transparencySummary; sourceCoverage; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.unimi.it/it/ateneo/governance-e-linee-strategiche/organi-di-governo/comitato-etico | https://www.unimi.it/sites/default/files/regolamenti/REGOLAMENTO%20DI%20FUNZIONAMENTO%20COMITATO%20ETICO.pdf | https://www.unimi.it/it/ateneo/normative/codice-etico | https://work.unimi.it/filepub/bandi_finanziamento/RAR_RelazioneAteneoRicerca_VI_edizione_Ottobre2025.pdf | https://www.unimi.it/sites/default/files/2021-01/all.%201%20Ateneo.pdf","No public misconduct case-output channel, anonymized decision archive or public aggregate integrity-statistics channel located; committee opinions/minutes are restricted through Unimibox.","Validate whether the Ethics Committee president's annual Senate report or any opinions on Code violations appear in public non-personal form.","Batch 4 restricted-output audit; upgraded to Detailed seed while keeping evidence level Moderate."
2026-06-23,university-of-strasbourg,University of Strasbourg,Partial seed,Detailed seed,Moderate,2,"reportStatus; profileStatus; validationStatus; countrySystemSummary; nationalRoute; procedureSummary; publicOutputSummary; transparencySummary; sourceCoverage; sourceLinks; tags; caveats; reportNotes; nextFollowUp","https://www.unistra.fr/fr/universite/engagements/referents/referent-lintegrite-scientifique | https://www.unistra.fr/fr/universite/engagements/ethique-la-recherche-integrite-scientifique-et-deontologie | https://www.ofis-france.fr/ris/universite-de-strasbourg/ | https://www.ofis-france.fr/wp-content/uploads/2025/06/Ofis-Synthese-bisannuelle-2022-2023-traitement-manquements-integrite-scientifique.pdf","No Strasbourg-owned RIS annual activity report, local signalement statistics page, anonymized case-summary channel or public decision archive located; OFIS synthesis is national context only.","Validate whether Strasbourg publishes non-personal RIS annual activity statistics, procedure documents or anonymized case-learning output beyond the referent page.","Batch 4 RIS route/no-local-output audit; upgraded to Detailed seed with national/local separation."
2026-06-23,university-of-freiburg,University of Freiburg,Partial seed,Detailed seed,Moderate,0,"reportStatus; profileStatus; validationStatus; countrySystemSummary; nationalRoute; procedureSummary; publicOutputSummary; transparencySummary; sourceCoverage; tags; caveats; reportNotes; nextFollowUp","https://uni-freiburg.de/forschung/qualitaetssicherung/gute-wissenschaftliche-praxis/redlichkeit-in-der-wissenschaft/ | https://uni-freiburg.de/wp-content/uploads/Uni-Freiburg-Ordnung-Redlichkeit-in-der-Wissenschaft-en.pdf | https://uni-freiburg.de/forschung/qualitaetssicherung/forschungskommissionen/ | https://uni-freiburg.de/themen-im-fokus/aufklaerungsarbeit-zu-doping-sportmedizin-und-wissenschaftlichem-fehlverhalten/","No current standing Freiburg public case-output channel, annual ombudsperson/commission statistics page or recurring anonymized decision archive located; sports-medicine material is historical case-complex output only.","Validate whether Freiburg publishes current annual statistics or non-personal summaries beyond the historical sports-medicine complex.","Batch 4 historical-output/no-current-output audit; upgraded to Detailed seed but public-output count remains unchanged."
2026-06-23,trinity-college-dublin,Trinity College Dublin,Partial seed,Detailed seed,Moderate,1,"reportStatus; profileStatus; validationStatus; countrySystemSummary; nationalRoute; procedureSummary; publicOutputSummary; transparencySummary; sourceCoverage; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.tcd.ie/seniordean/research-integrity/ | https://www.tcd.ie/media/tcd/about/policies/pdfs/Policy-on-Good-Research-Practice_1.1.pdf | https://www.tcd.ie/research/support/integrity.php | https://www.iua.ie/for-researchers/research-integrity/ | https://www.iua.ie/wp-content/uploads/2025/07/National-Stats-on-Formal-Investigations-of-Research-Misconduct-2023.pdf | https://www.tcd.ie/media/tcd/about/policies/pdfs/Fraud-Policy.pdf","No Trinity-owned public case-output channel, annual research-integrity statement, anonymized institutional case-summary page or local aggregate misconduct-statistics channel located; NRIF is national aggregate context only.","Validate whether Trinity publishes local research-integrity statistics, annual statements or lessons-learned notes outside public Senior Dean/Research/NRIF pages.","Batch 4 national-output/no-local-output audit; upgraded to Detailed seed while keeping NRIF and anti-fraud material separate."
2026-06-23,universite-paris-saclay,Universite Paris-Saclay,Partial seed,Detailed seed,Moderate,0,"reportStatus; profileStatus; validationStatus; publicOutputCategory; publicOutputCategoryNote; sourceCoverage; caveats; reportNotes; nextFollowUp","https://www.universite-paris-saclay.fr/recherche/polethis-ethique-et-integrite/polethis-axe-du-reseau-integrite-scientifique | https://www.universite-paris-saclay.fr/que-faire-en-cas-de-problemes | https://www.ofis-france.fr/annuaire/ | https://www.universite-paris-saclay.fr/sites/default/files/2020-01/fonctionnement-cer-2018-10-17_0.pdf","No Paris-Saclay-owned RIS annual activity report, non-personal signalement statistics page or case-output channel located; CER-PS is ethics-review boundary material.","Validate whether annual RIS activity reports, POLETHIS output practice or non-personal signalement statistics exist outside the located route pages.","Batch 5 procedure-only/no-output audit; upgraded to Detailed seed without changing the strict public-output count."
2026-06-23,lmu-munich,Ludwig-Maximilians-Universitat Munchen / LMU Munich,Partial seed,Detailed seed,Moderate,0,"reportStatus; profileStatus; validationStatus; publicOutputCategory; publicOutputCategoryNote; sourceCoverage; caveats; reportNotes","https://cms-cdn.lmu.de/media/contenthub/amtliche-veroeffentlichungen/gwp-ordnung.pdf | https://www.med.lmu.de/de/promotion/gwp/ | https://www.graduatecenter.uni-muenchen.de/veranstaltungen/e-learning/index.html","No LMU public case-output channel, annual ombudsperson statistics page or anonymized decision archive located; publication appears discretionary rather than a standing channel.","Validate whether a current non-personal ombudsperson or investigation-committee page exposes aggregate output or anonymized summaries.","Batch 5 procedure-only/no-output audit; 2023 GWP regulation remains the backbone source."
2026-06-23,heidelberg-university,Heidelberg University,Partial seed,Detailed seed,Moderate,0,"reportStatus; profileStatus; validationStatus; publicOutputCategory; publicOutputCategoryNote; publicOutputSummary; sourceCoverage; caveats; reportNotes","https://www.uni-heidelberg.de/en/university/about-the-university/good-academic-practice | https://www.uni-heidelberg.de/en/university/about-the-university/good-academic-practice/ombudsmen | https://backend.uni-heidelberg.de/en/documents/rules-for-safeguarding-good-academic-practice-and-handling-academic-misconduct/download | https://backend.uni-heidelberg.de/en/documents/statute-on-safeguarding-fair-conduct/download","No Heidelberg public case-output channel, annual ombuds/commission statistics page or anonymized decision archive located; rules require internal annual anonymized reporting to the Rector.","Validate whether any non-personal annual report, Rectorate summary or Commission output is public.","Batch 5 procedure-only/no-output audit; internal anonymized reporting noted but not counted as public output."
2026-06-23,university-of-helsinki,University of Helsinki,Partial seed,Detailed seed,Moderate,1,"reportStatus; profileStatus; validationStatus; publicOutputCategory; publicOutputCategoryNote; sourceCoverage; sourceLinks; reportNotes; nextFollowUp","https://www.helsinki.fi/en/research/research-integrity/research-ethics/responsible-conduct-research | https://www.helsinki.fi/en/research/research-integrity/research-ethics | https://tenk.fi/en/research-integrity/organisations-committed-rircr-guidelines | https://tenk.fi/en/research-integrity/tenks-statement-summaries | https://www.helsinki.fi/en/about-us/university-helsinki/annual-reviews","No Helsinki-owned public case-output channel, annual integrity statistics page or anonymized local decision channel located; TENK national summaries remain the public-output route after local processes.","Validate whether Helsinki publishes local annual statistics, local RI decisions or Helsinki-specific TENK links beyond procedure guidance and general annual reviews.","Batch 5 national-output/no-local-output audit; upgraded to Detailed seed while keeping TENK output separate from Helsinki-owned output."
2026-06-23,university-of-zurich,University of Zurich,Partial seed,Detailed seed,Moderate,0,"reportStatus; profileStatus; validationStatus; publicOutputCategory; publicOutputCategoryNote; sourceCoverage; caveats; reportNotes","https://www.research.uzh.ch/en/procedures/integrity.html | https://www.uzh.ch/en/researchinnovation/ethics/integrity.html | https://www.research.uzh.ch/en/procedures/integrity/persons.html | https://www.uzh.ch/en/explore/portrait/annualreport.html | https://www.news.uzh.ch/en/articles/news/2023/integrity-scientific.html","No UZH public case-output channel, anonymized decision archive or annual integrity-statistics page located; official news is contextual and ETH Zurich output must not be generalized.","Validate whether UZH annual reports, official news or integrity pages expose aggregate statistics or anonymized summaries after the 2025 authorship-guideline changes.","Batch 5 procedure-only/no-output audit; upgraded to Detailed seed and kept UZH separate from ETH Zurich."
